rank,line,name,series_type,family,2025,2024,yoy_pct,share_pct_total_pce,reasoning,source_tags
1,49,Housing and utilities,Roll-up,Housing & utilities,3801.214,3603.64,5.482623125506425,18.1400140311146,"Shelter is the core human consumption function, and it absorbs the largest recurring share of household budgets.",H3
2,60,Health care,Roll-up,Health care services,3551.57,3314.991,7.1366407932932585,16.948672090675686,"Medical spending is supported by demographics, chronic care demand, and high labor and facility intensity.",H3
3,50,Housing,Roll-up,Housing & utilities,3310.951,3146.981,5.210390529844311,15.800398924220765,"Shelter is the core human consumption function, and it absorbs the largest recurring share of household budgets.",H3
4,52,Imputed rental of owner-occupied nonfarm housing,Leaf,Housing & utilities,2500.256,2374.185,5.310074825677025,11.931629979627157,"Owner-occupied housing is counted as a service households consume, so shelter dominates even without a cash rent check.",H3
5,65,Hospital and nursing home services,Roll-up,Health care services,1869.196,1742.321,7.2819532106884965,8.920108593439698,"High-acuity care is expensive, labor-intensive, and used steadily across an aging population.",H3
6,95,Other services,Roll-up,Other services,1777.887,1675.793,6.092279893757757,8.484367132641372,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
7,39,Other nondurable goods,Roll-up,Other nondurables,1728.589,1633.141,5.844443315059755,8.249109025177313,"Fast-turn, everyday-use items create large aggregate spend despite modest ticket sizes.",H3
8,86,Financial services and insurance,Roll-up,Financial services & insurance,1689.841,1560.423,8.293776751560312,8.0641972407638,"Insurance spending rises with underlying asset values, claims costs, and medical utilization.",H3
9,61,Outpatient services,Roll-up,Health care services,1682.374,1572.669,6.975720892317461,8.028563497235988,"Routine care, specialty visits, diagnostics, and therapy make this a high-frequency medical spend.",H3
10,66,Hospitals,Leaf,Health care services,1600.193,1493.606,7.136219324239468,7.636382343243859,"High-acuity care is expensive, labor-intensive, and used steadily across an aging population.",H3
11,26,Food and beverages purchased for off-premises consumption,Roll-up,Food at home,1529.922,1479.572,3.4030111410597197,7.301037654420643,"Groceries are universal, repetitive spending, so even low single-digit growth compounds into very large dollar totals.",H3
12,81,Food services and accommodations,Roll-up,Food away from home,1495.154,1428.965,4.631953896701457,7.13511908002999,"Eating away from home layers wages, rent, and service margins onto basic calorie demand.",H3
13,82,Food services,Roll-up,Food away from home,1297.261,1230.773,5.402133455966296,6.1907413636848005,"Eating away from home layers wages, rent, and service margins onto basic calorie demand.",H3
14,27,Food and nonalcoholic beverages purchased for off-premises consumption,Leaf,Food at home,1295.144,1250.068,3.6058838399191107,6.180638693931435,"Groceries are universal, repetitive spending, so even low single-digit growth compounds into very large dollar totals.",H3
15,83,Purchased meals and beverages,Leaf,Food away from home,1259.991,1195.899,5.359315460586567,6.012882836661686,"Eating away from home layers wages, rent, and service margins onto basic calorie demand.",H3
16,87,Financial services,Roll-up,Financial services & insurance,1147.483,1041.536,10.172187999262604,5.475976285593359,"Payments, lending, asset management, and deposit intermediation scale with balances and transaction volumes.",H3
17,62,Physician services,Leaf,Health care services,836.724,793.281,5.476369659679237,3.99298358371045,"Routine care, specialty visits, diagnostics, and therapy make this a high-frequency medical spend.",H3
18,76,Recreation services,Roll-up,Recreation services,819.215,777.049,5.42642741963506,3.9094277760998324,"Households continue to spend on leisure, media, and entertainment when income and confidence hold up.",H3
19,51,Rental of tenant-occupied nonfarm housing,Leaf,Housing & utilities,776.768,740.336,4.921008839229768,3.706863759557032,Shelter is the most persistent household bill; rents reset slowly but on a very large base.,H3
20,40,Pharmaceutical and other medical products,Leaf,Other nondurables,729.362,677.676,7.626948571293646,3.480634585098815,Prescriptions and medical products combine steady utilization with high branded-product mix.,H3
21,68,Transportation services,Roll-up,Transportation services,703.698,660.506,6.539229015330683,3.358161785594624,"Transport demand follows commuting, travel, freight-linked ticketing, and maintenance of personal mobility.",H3
22,64,Paramedical services,Leaf,Health care services,647.402,593.654,9.053758586651494,3.089508079200922,"Routine care, specialty visits, diagnostics, and therapy make this a high-frequency medical spend.",H3
23,88,Financial services furnished without payment,Leaf,Financial services & insurance,614.497,565.522,8.660140542719796,2.9324800450797635,"Payments, lending, asset management, and deposit intermediation scale with balances and transaction volumes.",H3
24,30,Clothing and footwear,Roll-up,Apparel & footwear,561.764,530.206,5.952026193592674,2.6808295566035123,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing.",H3
25,90,Insurance,Roll-up,Financial services & insurance,542.358,518.887,4.523335523919458,2.5882209551704407,"Insurance spending rises with underlying asset values, claims costs, and medical utilization.",H3
26,89,"Financial service charges, fees, and commissions",Leaf,Financial services & insurance,532.986,476.014,11.96855554668559,2.5434962405135955,"Payments, lending, asset management, and deposit intermediation scale with balances and transaction volumes.",H3
27,55,Household utilities,Roll-up,Housing & utilities,490.262,456.659,7.3584447038161915,2.3396103347305113,"Shelter and utility services are unavoidable household expenses, so they stay large even when growth is modest.",H3
28,31,Garments,Roll-up,Apparel & footwear,437.195,410.901,6.3991083010262795,2.0863659437046027,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing.",H3
29,14,"Video, audio, photographic, and information processing equipment and media",Leaf,Recreation durables,427.604,402.729,6.176610077744593,2.0405961252801674,"Electronics stay large because computing, media, and device-refresh spending are now everyday household behaviors.",H3
30,36,Gasoline and other energy goods,Roll-up,Energy goods,422.353,440.526,-4.1252956692681035,2.0155374956746304,"Fuel spending moves with miles driven and commodity prices, making it one of the more volatile household goods lines.",H3
31,5,New motor vehicles,Leaf,Vehicles & parts,408.546,394.88,3.4607982171799057,1.9496482366832664,"Vehicles are large-ticket replacement purchases, so price and financing conditions matter as much as unit demand.",H3
32,69,Motor vehicle services,Roll-up,Transportation services,395.178,368.572,7.2186709788046866,1.8858539573904036,"Transport demand follows commuting, travel, freight-linked ticketing, and maintenance of personal mobility.",H3
33,37,"Motor vehicle fuels, lubricants, and fluids",Leaf,Energy goods,393.097,414.263,-5.109314614146088,1.8759230855166418,"Fuel spending moves with miles driven and commodity prices, making it one of the more volatile household goods lines.",H3
34,100,Education services,Roll-up,Other services,363.077,352.222,3.081863143131325,1.7326627425803955,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
35,106,Social services and religious activities,Leaf,Other services,355.378,334.748,6.162844886302521,1.6959218571618024,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
36,57,Electricity and gas,Roll-up,Housing & utilities,343.448,317.04,8.329548321978276,1.6389899487264454,"Utilities are recurring necessities, with weather and regulated pricing driving year-to-year movement.",H3
37,41,Recreational items,Leaf,Other nondurables,334.697,313.676,6.701500911768843,1.597228747492765,Experience and hobby spending remains durable when consumers feel confident and keep discretionary budgets open.,H3
38,96,Communication,Roll-up,Other services,319.327,309.106,3.306632676169352,1.5238805972286043,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
39,72,Public transportation,Roll-up,Transportation services,308.52,291.934,5.681421143135079,1.4723078282042201,"Transport demand follows commuting, travel, freight-linked ticketing, and maintenance of personal mobility.",H3
40,77,"Membership clubs, sports centers, parks, theaters, and museums",Leaf,Recreation services,305.993,291.217,5.073879615544419,1.4602485714887008,Experience and hobby spending remains durable when consumers feel confident and keep discretionary budgets open.,H3
41,104,Professional and other services,Leaf,Other services,297.71,277.891,7.131933024099357,1.420720742689869,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
42,9,Furniture and furnishings,Leaf,Home durables,293.895,281.899,4.255424815270703,1.4025149396151928,Home setup and replacement cycles keep this tied to household formation and renovation activity.,H3
43,109,Foreign travel by U.S. residents,Leaf,Other services,287.306,269.203,6.724665029735921,1.3710711554843824,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
44,93,Net health insurance,Leaf,Financial services & insurance,283.461,270.143,4.929981528301686,1.3527221875100364,"Insurance spending rises with underlying asset values, claims costs, and medical utilization.",H3
45,70,Motor vehicle maintenance and repair,Leaf,Transportation services,276.707,257.479,7.467793489954522,1.3204909964310423,"Transport demand follows commuting, travel, freight-linked ticketing, and maintenance of personal mobility.",H3
46,67,Nursing homes,Leaf,Health care services,269.003,248.715,8.157127636049278,1.2837262501958375,"High-acuity care is expensive, labor-intensive, and used steadily across an aging population.",H3
47,58,Electricity,Leaf,Housing & utilities,267.529,253.432,5.562438839609829,1.2766920814587281,"Utilities are recurring necessities, with weather and regulated pricing driving year-to-year movement.",H3
48,32,Women's and girls' clothing,Leaf,Apparel & footwear,255.924,240.734,6.309868984023859,1.2213111261031273,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing.",H3
49,105,Personal care and clothing services,Leaf,Other services,241.747,233.061,3.726921278120332,1.1536561666825023,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing.",H3
50,28,Alcoholic beverages purchased for off-premises consumption,Leaf,Food at home,233.926,228.733,2.270332658601948,1.1163330773385853,"Staple consumption happens every week, making grocery categories some of the most dependable spending lines.",H3
51,79,Gambling,Leaf,Recreation services,229.304,206.949,10.802178314463951,1.0942761384627917,Experience and hobby spending remains durable when consumers feel confident and keep discretionary budgets open.,H3
52,6,Net purchases of used motor vehicles,Leaf,Vehicles & parts,219.074,211.514,3.574231492950819,1.0454569076753901,"Vehicles are large-ticket replacement purchases, so price and financing conditions matter as much as unit demand.",H3
53,43,Personal care products,Leaf,Other nondurables,213.592,203.421,4.999975420433489,1.0192959083423954,"Personal care is frequent, habitual spending with broad category penetration.",H3
54,110,Less: Expenditures in the United States by nonresidents,Leaf,Other services,208.933,216.558,-3.5209966844909957,0.9970623994236754,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
55,101,Higher education,Leaf,Other services,208.152,206.341,0.8776733659330738,0.9933353398689383,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
56,42,Household supplies,Leaf,Other nondurables,198.926,191.13,4.078899178569562,0.9493073610571525,"Fast-turn, everyday-use items create large aggregate spend despite modest ticket sizes.",H3
57,63,Dental services,Leaf,Health care services,198.248,185.735,6.737017794169109,0.9460718343246151,"Routine care, specialty visits, diagnostics, and therapy make this a high-frequency medical spend.",H3
58,85,Accommodations,Leaf,Food away from home,197.893,198.192,-0.15086380883184702,0.9443777163451892,"Eating away from home layers wages, rent, and service margins onto basic calorie demand.",H3
59,74,Air transportation,Leaf,Transportation services,195.488,189.133,3.360069369174057,0.9329006635549935,"Transport demand follows commuting, travel, freight-linked ticketing, and maintenance of personal mobility.",H3
60,97,Telecommunication services,Leaf,Other services,185.367,181.401,2.186316503216612,0.8846015985697253,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
61,78,"Audio-video, photographic, and information processing equipment services",Leaf,Recreation services,172.404,171.657,0.4351701357940385,0.822740045422405,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing.",H3
62,33,Men's and boys' clothing,Leaf,Apparel & footwear,153.681,144.109,6.6421944500343555,0.7333908315384831,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing.",H3
63,56,Water supply and sanitation,Leaf,Housing & utilities,146.815,139.619,5.154026314470084,0.7006251581673881,"Utilities are recurring necessities, with weather and regulated pricing driving year-to-year movement.",H3
64,7,Motor vehicle parts and accessories,Leaf,Vehicles & parts,131.214,126.385,3.820864817818559,0.6261746381757699,"Vehicles are large-ticket replacement purchases, so price and financing conditions matter as much as unit demand.",H3
65,91,Life insurance,Leaf,Financial services & insurance,130.331,127.57,2.1643019518695628,0.6219608179621554,"Insurance spending rises with underlying asset values, claims costs, and medical utilization.",H3
66,45,"Magazines, newspapers, and stationery",Leaf,Other nondurables,127.018,118.975,6.760243748686712,0.6061506408752872,"Fast-turn, everyday-use items create large aggregate spend despite modest ticket sizes.",H3
67,15,"Sporting equipment, supplies, guns, and ammunition",Leaf,Recreation durables,126.935,121.783,4.230475517929433,0.6057545513195343,Experience and hobby spending remains durable when consumers feel confident and keep discretionary budgets open.,H3
68,35,Other clothing materials and footwear,Leaf,Apparel & footwear,124.568,119.304,4.412257761684435,0.594458840735587,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing.",H3
69,107,Household maintenance,Leaf,Other services,122.274,116.121,5.298783165835652,0.5835114980741696,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
70,71,Other motor vehicle services,Leaf,Transportation services,118.471,111.093,6.641282529052228,0.5653629609593613,"Transport demand follows commuting, travel, freight-linked ticketing, and maintenance of personal mobility.",H3
71,99,Internet access,Leaf,Other services,116.866,110.57,5.6941304151216565,0.5577036388270271,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
72,44,Tobacco,Leaf,Other nondurables,111.574,115.212,-3.1576571884873172,0.5324493505252744,"Fast-turn, everyday-use items create large aggregate spend despite modest ticket sizes.",H3
73,80,Other recreational services,Leaf,Recreation services,111.513,107.226,3.998097476358353,0.5321582485626125,Experience and hobby spending remains durable when consumers feel confident and keep discretionary budgets open.,H3
74,94,Net motor vehicle and other transportation insurance,Leaf,Financial services & insurance,108.797,102.888,5.743138169660211,0.5191970529791733,"Insurance spending rises with underlying asset values, claims costs, and medical utilization.",H3
75,20,Jewelry and watches,Leaf,Other durables,106.012,104.583,1.366378856984407,0.5059065781264935,Small but durable household and personal items add up because of broad usage.,H3
76,73,Ground transportation,Leaf,Transportation services,105.643,95.968,10.081485495165055,0.504145649860555,"Transport demand follows commuting, travel, freight-linked ticketing, and maintenance of personal mobility.",H3
77,16,Sports and recreational vehicles,Leaf,Recreation durables,100.915,99.431,1.4924922810793495,0.48158286167259456,Experience and hobby spending remains durable when consumers feel confident and keep discretionary budgets open.,H3
78,21,Therapeutic appliances and equipment,Leaf,Other durables,99.442,95.622,3.9948965719185825,0.47455346509880736,Prescriptions and medical products combine steady utilization with high branded-product mix.,H3
79,10,Household appliances,Leaf,Home durables,89.654,88.069,1.7997252154560606,0.42784353049987406,Home setup and replacement cycles keep this tied to household formation and renovation activity.,H3
80,103,Commercial and vocational schools,Leaf,Other services,88.097,82.838,6.3485356961780814,0.42041327220701147,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
81,108,Net foreign travel,Roll-up,Other services,78.373,52.645,48.870737961819735,0.37400875606070705,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
82,59,Natural gas,Leaf,Housing & utilities,75.919,63.608,19.35448371274053,0.36229786726771745,"Utilities are recurring necessities, with weather and regulated pricing driving year-to-year movement.",H3
83,102,"Nursery, elementary, and secondary schools",Leaf,Other services,66.829,63.042,6.007106373528748,0.3189189026677681,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing.",H3
84,11,"Glassware, tableware, and household utensils",Leaf,Home durables,61.954,59.085,4.855716340864857,0.2956546064714257,Home setup and replacement cycles keep this tied to household formation and renovation activity.,H3
85,12,Tools and equipment for house and garden,Leaf,Home durables,61.837,60.966,1.42866515762885,0.2950962633627135,Home setup and replacement cycles keep this tied to household formation and renovation activity.,H3
86,23,Luggage and similar personal items,Leaf,Other durables,51.14,48.011,6.517256462060783,0.24404843230378523,Small but durable household and personal items add up because of broad usage.,H3
87,84,Food furnished to employees (including military),Leaf,Food away from home,37.269,34.874,6.867580432413822,0.17785375485979216,"Restaurant and lodging spend is recurring and labor-heavy, so dollar totals stay high.",H3
88,24,Telephone and facsimile equipment,Leaf,Other durables,36.109,34.837,3.6512902948014903,0.17231804540589327,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing.",H3
89,17,Recreational books,Leaf,Recreation durables,33.096,31.077,6.496766097113604,0.15793951731572303,Experience and hobby spending remains durable when consumers feel confident and keep discretionary budgets open.,H3
90,53,Rental value of farm dwellings,Leaf,Housing & utilities,30.529,29.17,4.658896126156997,0.1456893740673105,"Shelter and utility services are unavoidable household expenses, so they stay large even when growth is modest.",H3
91,38,Fuel oil and other fuels,Leaf,Energy goods,29.256,26.263,11.396260899364119,0.13961441015798867,"Fuel spending moves with miles driven and commodity prices, making it one of the more volatile household goods lines.",H3
92,34,Children's and infants' clothing,Leaf,Apparel & footwear,27.59,26.058,5.879192570419822,0.13166398606299246,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing.",H3
93,92,Net household insurance,Leaf,Financial services & insurance,19.77,18.286,8.115498195340699,0.094345668882398,"Insurance spending rises with underlying asset values, claims costs, and medical utilization.",H3
94,98,Postal and delivery services,Leaf,Other services,17.094,17.134,-0.23345395120811796,0.08157535983185188,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
95,46,Net expenditures abroad by U.S. residents,Leaf,Other nondurables,13.42,13.051,2.8273695502260443,0.06404243178562373,"Fast-turn, everyday-use items create large aggregate spend despite modest ticket sizes.",H3
96,18,Musical instruments,Leaf,Recreation durables,9.062,8.712,4.017447199265378,0.04324534402692416,Experience and hobby spending remains durable when consumers feel confident and keep discretionary budgets open.,H3
97,22,Educational books,Leaf,Other durables,8.924,8.501,4.975885189977647,0.04258678548844309,Small but durable household and personal items add up because of broad usage.,H3
98,75,Water transportation,Leaf,Transportation services,7.388,6.833,8.122347431582021,0.03525674262534934,"Utilities are recurring necessities, with weather and regulated pricing driving year-to-year movement.",H3
99,54,Group housing,Leaf,Housing & utilities,3.398,3.29,3.2826747720364757,0.01621581096926598,"Shelter and utility services are unavoidable household expenses, so they stay large even when growth is modest.",H3
100,29,Food produced and consumed on farms,Leaf,Food at home,0.853,0.771,10.63553826199739,0.004070655313944638,"Staple consumption happens every week, making grocery categories some of the most dependable spending lines.",H3
