symbol,display,company,pages,ok,listing_status,currency,price,previous_close,ytd_return_pct,market_cap_local,market_cap_usd,market_time,as_of,quote_url,chart_url,error
000660.KS,000660,SK hynix,beneficiaries;bottleneck-sectors;carbon-vs-silicon;companies;market-snapshot;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,KRW,1447000.0,651000.0,113.74,,,2026-05-04T06:30:26+00:00,2026-05-04,https://finance.yahoo.com/quote/000660.KS/,https://query1.finance.yahoo.com/v8/finance/chart/000660.KS?range=ytd&interval=1d,
001820.KS,001820,Samwha Capacitor,ai-passives,True,,KRW,68400.0,29250.0,126.87,,,2026-05-04T06:30:26+00:00,2026-05-04,https://finance.yahoo.com/quote/001820.KS/,https://query1.finance.yahoo.com/v8/finance/chart/001820.KS?range=ytd&interval=1d,
002281.SZ,002281,Accelink Technologies,companies,True,,CNY,144.28,69.95,103.7,,,2026-04-30T07:04:12+00:00,2026-05-04,https://finance.yahoo.com/quote/002281.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002281.SZ?range=ytd&interval=1d,
002371.SZ,002371.SZ,002371.SZ,beneficiaries;market-snapshot,True,,CNY,536.99,459.08,13.17,,,2026-04-30T07:04:30+00:00,2026-05-04,https://finance.yahoo.com/quote/002371.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002371.SZ?range=ytd&interval=1d,
005380.KS,005380.KS,Hyundai Motor,robotics,True,,KRW,539000.0,296500.0,80.57,,,2026-05-04T06:30:14+00:00,2026-05-04,https://finance.yahoo.com/quote/005380.KS/,https://query1.finance.yahoo.com/v8/finance/chart/005380.KS?range=ytd&interval=1d,
005930.KS,005930,Samsung Electronics,beneficiaries;bottleneck-sectors;companies;market-snapshot;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,KRW,232500.0,119900.0,80.93,,,2026-05-04T06:30:15+00:00,2026-05-04,https://finance.yahoo.com/quote/005930.KS/,https://query1.finance.yahoo.com/v8/finance/chart/005930.KS?range=ytd&interval=1d,
009150.KS,009150.KS,009150.KS,ai-passives;bottleneck-sectors;market-snapshot,True,,KRW,918000.0,255000.0,240.0,,,2026-05-04T06:30:09+00:00,2026-05-04,https://finance.yahoo.com/quote/009150.KS/,https://query1.finance.yahoo.com/v8/finance/chart/009150.KS?range=ytd&interval=1d,
010120.KS,010120,LS ELECTRIC,ai-passives,True,,KRW,294000.0,92000.0,198.48,,,2026-05-04T06:30:06+00:00,2026-05-04,https://finance.yahoo.com/quote/010120.KS/,https://query1.finance.yahoo.com/v8/finance/chart/010120.KS?range=ytd&interval=1d,
034020.KS,034020.KS,034020.KS,bottleneck-sectors;market-snapshot,True,,KRW,127200.0,75300.0,69.15,,,2026-05-04T06:30:22+00:00,2026-05-04,https://finance.yahoo.com/quote/034020.KS/,https://query1.finance.yahoo.com/v8/finance/chart/034020.KS?range=ytd&interval=1d,
042700.KS,042700.KS,042700.KS,bottleneck-sectors;market-snapshot,True,,KRW,378000.0,127400.0,161.59,,,2026-05-04T06:30:20+00:00,2026-05-04,https://finance.yahoo.com/quote/042700.KS/,https://query1.finance.yahoo.com/v8/finance/chart/042700.KS?range=ytd&interval=1d,
0522.HK,0522.HK,0522.HK,bottleneck-sectors;market-snapshot,True,,HKD,165.1,77.7,103.33,,,2026-05-04T08:08:20+00:00,2026-05-04,https://finance.yahoo.com/quote/0522.HK/,https://query1.finance.yahoo.com/v8/finance/chart/0522.HK?range=ytd&interval=1d,
0981.HK,0981.HK,0981.HK,beneficiaries;market-snapshot,True,,HKD,72.15,71.35,-3.93,,,2026-05-04T08:08:21+00:00,2026-05-04,https://finance.yahoo.com/quote/0981.HK/,https://query1.finance.yahoo.com/v8/finance/chart/0981.HK?range=ytd&interval=1d,
1347.HK,1347.HK,1347.HK,beneficiaries;market-snapshot,True,,HKD,121.0,74.1,48.83,,,2026-05-04T08:08:21+00:00,2026-05-04,https://finance.yahoo.com/quote/1347.HK/,https://query1.finance.yahoo.com/v8/finance/chart/1347.HK?range=ytd&interval=1d,
2301.TW,2301,LITEON Technology,ai-passives,True,,TWD,171.5,163.5,2.69,,,2026-05-04T05:30:05+00:00,2026-05-04,https://finance.yahoo.com/quote/2301.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2301.TW?range=ytd&interval=1d,
2303.TW,2303.TW,UMC,signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,81.2,49.25,66.74,,,2026-05-04T05:30:01+00:00,2026-05-04,https://finance.yahoo.com/quote/2303.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2303.TW?range=ytd&interval=1d,
2308.TW,2308,Delta Electronics,ai-passives;bottleneck-sectors;companies;market-snapshot,True,,TWD,2220.0,963.0,123.12,,,2026-05-04T05:30:07+00:00,2026-05-04,https://finance.yahoo.com/quote/2308.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2308.TW?range=ytd&interval=1d,
2313.TW,2313.TW,2313.TW,ai-passives;bottleneck-sectors;market-snapshot,True,,TWD,268.5,93.1,183.83,,,2026-05-04T05:30:02+00:00,2026-05-04,https://finance.yahoo.com/quote/2313.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2313.TW?range=ytd&interval=1d,
2317.TW,2317,Hon Hai Precision (Foxconn),ai-passives;companies;robotics;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,227.5,230.5,-1.94,,,2026-05-04T05:30:03+00:00,2026-05-04,https://finance.yahoo.com/quote/2317.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2317.TW?range=ytd&interval=1d,
2327.TW,2327,Yageo,ai-passives;bottleneck-sectors;companies;market-snapshot,True,,TWD,342.5,231.0,42.12,,,2026-05-04T05:30:04+00:00,2026-05-04,https://finance.yahoo.com/quote/2327.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2327.TW?range=ytd&interval=1d,
2330.TW,2330.TW,TSMC,carbon-vs-silicon;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,2275.0,1550.0,43.53,,,2026-05-04T05:30:06+00:00,2026-05-04,https://finance.yahoo.com/quote/2330.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2330.TW?range=ytd&interval=1d,
2356.TW,2356,Inventec,ai-passives,True,,TWD,46.5,42.9,4.38,,,2026-05-04T05:30:18+00:00,2026-05-04,https://finance.yahoo.com/quote/2356.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2356.TW?range=ytd&interval=1d,
2360.TW,2360,Chroma ATE,ai-passives,True,,TWD,2310.0,775.0,190.2,898013000000.0,28377210800.0,2026-05-04T05:30:29+00:00,2026-05-04,https://finance.yahoo.com/quote/2360.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2360.TW?range=ytd&interval=1d,
2382.TW,2382,Quanta Computer,ai-passives;companies;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,318.0,272.0,14.8,,,2026-05-04T05:30:17+00:00,2026-05-04,https://finance.yahoo.com/quote/2382.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2382.TW?range=ytd&interval=1d,
2454.TW,2454.TW,MediaTek,signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,2870.0,1430.0,95.24,,,2026-05-04T05:30:05+00:00,2026-05-04,https://finance.yahoo.com/quote/2454.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2454.TW?range=ytd&interval=1d,
2492.TW,2492,Walsin Technology,ai-passives,True,,TWD,138.5,117.0,11.24,,,2026-05-04T05:30:22+00:00,2026-05-04,https://finance.yahoo.com/quote/2492.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2492.TW?range=ytd&interval=1d,
267260.KS,267260,HD Hyundai Electric,ai-passives,True,,KRW,1299000.0,774000.0,58.61,,,2026-05-04T06:30:05+00:00,2026-05-04,https://finance.yahoo.com/quote/267260.KS/,https://query1.finance.yahoo.com/v8/finance/chart/267260.KS?range=ytd&interval=1d,
2802.T,2802.T,2802.T,bottleneck-sectors;market-snapshot,True,,JPY,4882.0,3317.0,46.87,4502000000000.0,28812800000.0,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/2802.T/,https://query1.finance.yahoo.com/v8/finance/chart/2802.T?range=ytd&interval=1d,
298040.KS,298040,Hyosung Heavy Industries,ai-passives,True,,KRW,4228000.0,1781000.0,129.16,,,2026-05-04T06:30:01+00:00,2026-05-04,https://finance.yahoo.com/quote/298040.KS/,https://query1.finance.yahoo.com/v8/finance/chart/298040.KS?range=ytd&interval=1d,
3037.TW,3037,Unimicron,ai-passives;beneficiaries;bottleneck-sectors;companies;market-snapshot;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,911.0,220.0,315.98,,,2026-05-04T05:30:03+00:00,2026-05-04,https://finance.yahoo.com/quote/3037.TW/,https://query1.finance.yahoo.com/v8/finance/chart/3037.TW?range=ytd&interval=1d,
3044.TW,3044,Tripod Technology,ai-passives;companies,True,,TWD,465.5,317.5,48.96,,,2026-05-04T05:30:27+00:00,2026-05-04,https://finance.yahoo.com/quote/3044.TW/,https://query1.finance.yahoo.com/v8/finance/chart/3044.TW?range=ytd&interval=1d,
3105.TWO,3105.TWO,Win Semi,signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,524.0,183.0,192.74,,,2026-05-04T05:30:18+00:00,2026-05-04,https://finance.yahoo.com/quote/3105.TWO/,https://query1.finance.yahoo.com/v8/finance/chart/3105.TWO?range=ytd&interval=1d,
3189.TW,3189,Kinsus Interconnect,companies,True,,TWD,531.0,159.0,240.38,,,2026-05-04T05:30:02+00:00,2026-05-04,https://finance.yahoo.com/quote/3189.TW/,https://query1.finance.yahoo.com/v8/finance/chart/3189.TW?range=ytd&interval=1d,
3231.TW,3231,Wistron,ai-passives;companies,True,,TWD,140.5,150.5,-9.35,,,2026-05-04T05:30:01+00:00,2026-05-04,https://finance.yahoo.com/quote/3231.TW/,https://query1.finance.yahoo.com/v8/finance/chart/3231.TW?range=ytd&interval=1d,
3436.T,3436.T,3436.T,beneficiaries;market-snapshot,True,,JPY,2533.0,1435.0,74.81,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/3436.T/,https://query1.finance.yahoo.com/v8/finance/chart/3436.T?range=ytd&interval=1d,
3443.TW,3443.TW,Global Unichip,signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,4685.0,2125.0,114.42,,,2026-05-04T05:30:30+00:00,2026-05-04,https://finance.yahoo.com/quote/3443.TW/,https://query1.finance.yahoo.com/v8/finance/chart/3443.TW?range=ytd&interval=1d,
3532.TW,3532.TW,Formosa Sumco Technology,scaling,True,,TWD,207.5,95.1,114.36,,,2026-05-04T05:30:21+00:00,2026-05-04,https://finance.yahoo.com/quote/3532.TW/,https://query1.finance.yahoo.com/v8/finance/chart/3532.TW?range=ytd&interval=1d,
3711.TW,3711.TW,3711.TW,ai-passives;beneficiaries;bottleneck-sectors;market-snapshot;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,525.0,250.5,103.49,,,2026-05-04T05:30:05+00:00,2026-05-04,https://finance.yahoo.com/quote/3711.TW/,https://query1.finance.yahoo.com/v8/finance/chart/3711.TW?range=ytd&interval=1d,
4004.T,4004,Resonac Holdings,beneficiaries;companies;market-snapshot,True,,JPY,14045.0,6526.0,108.04,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/4004.T/,https://query1.finance.yahoo.com/v8/finance/chart/4004.T?range=ytd&interval=1d,
4062.T,4062,Ibiden,ai-passives;beneficiaries;bottleneck-sectors;companies;market-snapshot;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,JPY,13375.0,6731.0,86.85,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/4062.T/,https://query1.finance.yahoo.com/v8/finance/chart/4062.T?range=ytd&interval=1d,
4063.T,4063.T,4063.T,beneficiaries;market-snapshot,True,,JPY,7104.0,4873.0,43.69,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/4063.T/,https://query1.finance.yahoo.com/v8/finance/chart/4063.T?range=ytd&interval=1d,
429A.T,429A.T,Tekscend Photomask,scaling,True,,JPY,4100.0,3030.0,33.12,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/429A.T/,https://query1.finance.yahoo.com/v8/finance/chart/429A.T?range=ytd&interval=1d,
4958.TW,4958.TW,4958.TW,ai-passives;bottleneck-sectors;market-snapshot,True,,TWD,432.5,142.0,207.83,,,2026-05-04T05:30:05+00:00,2026-05-04,https://finance.yahoo.com/quote/4958.TW/,https://query1.finance.yahoo.com/v8/finance/chart/4958.TW?range=ytd&interval=1d,
5201.T,5201.T,5201.T,bottleneck-sectors;market-snapshot,True,,JPY,5574.0,5193.0,6.68,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/5201.T/,https://query1.finance.yahoo.com/v8/finance/chart/5201.T?range=ytd&interval=1d,
5801.T,5801,Furukawa Electric,companies,True,,JPY,41190.0,10010.0,290.8,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/5801.T/,https://query1.finance.yahoo.com/v8/finance/chart/5801.T?range=ytd&interval=1d,
5802.T,5802,Sumitomo Electric,ai-passives;companies,True,,JPY,9900.0,6325.0,47.54,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/5802.T/,https://query1.finance.yahoo.com/v8/finance/chart/5802.T?range=ytd&interval=1d,
600487.SS,600487,Hengtong Optic-Electric,companies,True,,CNY,65.7,24.73,164.92,,,2026-04-30T07:00:01+00:00,2026-05-04,https://finance.yahoo.com/quote/600487.SS/,https://query1.finance.yahoo.com/v8/finance/chart/600487.SS?range=ytd&interval=1d,
600584.SS,600584.SS,600584.SS,beneficiaries;bottleneck-sectors;market-snapshot,True,,CNY,45.56,36.78,18.77,80703000000.0,11822989500.0,2026-04-30T07:00:01+00:00,2026-05-04,https://finance.yahoo.com/quote/600584.SS/,https://query1.finance.yahoo.com/v8/finance/chart/600584.SS?range=ytd&interval=1d,
6146.T,6146.T,Disco,signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,JPY,72250.0,48170.0,41.39,7926000000000.0,50726400000.0,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6146.T/,https://query1.finance.yahoo.com/v8/finance/chart/6146.T?range=ytd&interval=1d,
6268.T,6268.T,Nabtesco,robotics,True,,JPY,5041.0,3748.0,31.62,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6268.T/,https://query1.finance.yahoo.com/v8/finance/chart/6268.T?range=ytd&interval=1d,
6282.TW,6282,AcBel Polytech,ai-passives,True,,TWD,48.95,42.3,11.76,,,2026-05-04T05:30:09+00:00,2026-05-04,https://finance.yahoo.com/quote/6282.TW/,https://query1.finance.yahoo.com/v8/finance/chart/6282.TW?range=ytd&interval=1d,
6315.T,6315.T,TOWA Corporation,scaling,True,,JPY,3050.0,2150.0,33.42,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6315.T/,https://query1.finance.yahoo.com/v8/finance/chart/6315.T?range=ytd&interval=1d,
6324.T,6324.T,Harmonic Drive,robotics,True,,JPY,5150.0,3780.0,34.11,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6324.T/,https://query1.finance.yahoo.com/v8/finance/chart/6324.T?range=ytd&interval=1d,
6367.T,6367,Daikin Industries,bottleneck-sectors;companies;market-snapshot,True,,JPY,22855.0,20080.0,12.86,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6367.T/,https://query1.finance.yahoo.com/v8/finance/chart/6367.T?range=ytd&interval=1d,
6474.T,6474.T,Nachi-Fujikoshi,scaling,True,,JPY,5050.0,4350.0,12.22,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6474.T/,https://query1.finance.yahoo.com/v8/finance/chart/6474.T?range=ytd&interval=1d,
6488.TWO,6488.TW,6488.TW,beneficiaries;market-snapshot,True,,TWD,606.0,406.0,50.37,,,2026-05-04T05:30:40+00:00,2026-05-04,https://finance.yahoo.com/quote/6488.TWO/,https://query1.finance.yahoo.com/v8/finance/chart/6488.TWO?range=ytd&interval=1d,
6501.T,6501.T,6501.T,bottleneck-sectors;market-snapshot,True,,JPY,4795.0,4902.0,-5.39,24101000000000.0,154246400000.0,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6501.T/,https://query1.finance.yahoo.com/v8/finance/chart/6501.T?range=ytd&interval=1d,
6503.T,6503,Mitsubishi Electric,ai-passives,True,,JPY,6071.0,4585.0,26.74,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6503.T/,https://query1.finance.yahoo.com/v8/finance/chart/6503.T?range=ytd&interval=1d,
6504.T,6504,Fuji Electric,ai-passives,True,,JPY,13180.0,11850.0,9.02,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6504.T/,https://query1.finance.yahoo.com/v8/finance/chart/6504.T?range=ytd&interval=1d,
6506.T,6506.T,Yaskawa,robotics,True,,JPY,5521.0,4756.0,11.22,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6506.T/,https://query1.finance.yahoo.com/v8/finance/chart/6506.T?range=ytd&interval=1d,
6594.T,6594.T,Nidec,robotics,True,,JPY,2398.0,2132.0,14.63,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6594.T/,https://query1.finance.yahoo.com/v8/finance/chart/6594.T?range=ytd&interval=1d,
6669.TW,6669,Wiwynn,ai-passives;companies;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,4860.0,4485.0,8.48,,,2026-05-04T05:30:28+00:00,2026-05-04,https://finance.yahoo.com/quote/6669.TW/,https://query1.finance.yahoo.com/v8/finance/chart/6669.TW?range=ytd&interval=1d,
6723.T,6723,Renesas Electronics,ai-passives,True,,JPY,3205.0,2140.0,44.04,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6723.T/,https://query1.finance.yahoo.com/v8/finance/chart/6723.T?range=ytd&interval=1d,
6752.T,6752,Panasonic Holdings,ai-passives,True,,JPY,3324.0,2023.5,59.92,7245000000000.0,46368000000.0,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6752.T/,https://query1.finance.yahoo.com/v8/finance/chart/6752.T?range=ytd&interval=1d,
6754.T,6754,Anritsu,companies,True,,JPY,3858.0,2244.5,68.62,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6754.T/,https://query1.finance.yahoo.com/v8/finance/chart/6754.T?range=ytd&interval=1d,
6758.T,6758.T,Sony,robotics,True,,JPY,3127.0,4024.0,-23.34,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6758.T/,https://query1.finance.yahoo.com/v8/finance/chart/6758.T?range=ytd&interval=1d,
6762.T,6762,TDK,ai-passives;bottleneck-sectors;companies;market-snapshot,True,,JPY,2775.5,2211.0,23.36,4965000000000.0,31776000000.0,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6762.T/,https://query1.finance.yahoo.com/v8/finance/chart/6762.T?range=ytd&interval=1d,
6777.T,6777.T,6777.T,bottleneck-sectors;market-snapshot,True,,JPY,27830.0,9130.0,204.15,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6777.T/,https://query1.finance.yahoo.com/v8/finance/chart/6777.T?range=ytd&interval=1d,
6817.T,6817,Sumida,ai-passives,True,,JPY,1238.0,1144.0,7.09,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6817.T/,https://query1.finance.yahoo.com/v8/finance/chart/6817.T?range=ytd&interval=1d,
6857.T,6857,Advantest,beneficiaries;companies;market-snapshot;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,JPY,27815.0,19635.0,31.36,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6857.T/,https://query1.finance.yahoo.com/v8/finance/chart/6857.T?range=ytd&interval=1d,
6861.T,6861.T,Keyence,robotics,True,,JPY,76460.0,56680.0,33.72,,,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/6861.T/,https://query1.finance.yahoo.com/v8/finance/chart/6861.T?range=ytd&interval=1d,
6869.HK,6869,YOFC,companies,True,,HKD,223.8,51.7,327.1,,,2026-05-04T08:08:21+00:00,2026-05-04,https://finance.yahoo.com/quote/6869.HK/,https://query1.finance.yahoo.com/v8/finance/chart/6869.HK?range=ytd&interval=1d,
688012.SS,688012.SS,688012.SS,beneficiaries;market-snapshot,True,,CNY,376.3,272.72,20.87,,,2026-04-30T07:00:02+00:00,2026-05-04,https://finance.yahoo.com/quote/688012.SS/,https://query1.finance.yahoo.com/v8/finance/chart/688012.SS?range=ytd&interval=1d,
